Place,Team,Welcome,Frustrating,Pip Count,Sakura,Nasty Regexp,Numeral System V,Dominoes,Spiral,Translation,Triple Loop,Iterated Function,Slow Query,Score
1,ëÊélêºìåãûés,1,4,4,4,9,9,9,9,9,14,14,14,100
2,MikeCAT,1,4,4,4,9,9,9,9,9,14,14,14,100
3,refle,1,4,4,,9,9,9,9,9,14,14,14,96
4,siam,1,4,4,,9,9,9,9,9,,,14,68
5,328,1,4,4,4,9,,,,9,,,14,45
6,sheyasutaka,1,4,,,9,9,9,9,,,,,41
7,ç›å¥éµäC,1,4,4,4,9,9,,,9,,,,40
8,phocom,1,4,,,,,,9,9,14,,,37
9,st98,1,4,,4,9,,,9,9,,,,36
10,nu11ptr,,4,,,9,,,,,14,,,27
11,contrast,1,4,,4,9,,,,9,,,,27
12,NekochanNano!,1,4,,,,,9,9,,,,,23
13,task4233,1,4,4,4,,,,9,,,,,22
14,TELE,1,4,,4,,,,9,,,,,18
15,kaito_tateyama,1,4,,4,,,,9,,,,,18
16,jt00,1,4,,4,9,,,,,,,,18
17,n-sore,1,4,4,,9,,,,,,,,18
18,onotch,1,4,,4,,,,9,,,,,18
19,Lorse,1,4,,,,,,,9,,,,14
20,taurus,1,4,,,,,,9,,,,,14
21,karkador,1,4,,,,,,9,,,,,14
22,spdbear,1,4,4,4,,,,,,,,,13
23,p,1,4,,4,,,,,,,,,9
24,Popunbom,1,4,,4,,,,,,,,,9
25,Near,1,4,,,,,,,,,,,5
26,hato,1,4,,,,,,,,,,,5
27,xen,1,4,,,,,,,,,,,5
28,si0,1,4,,,,,,,,,,,5
29,hogeeeee,1,4,,,,,,,,,,,5
30,rain,1,4,,,,,,,,,,,5
31,murabitoG,1,4,,,,,,,,,,,5
32,SIGSEGV,1,,,,,,,,,,,,1
33,kuzushiki,1,,,,,,,,,,,,1
34,kobalt,1,,,,,,,,,,,,1
35,km2,1,,,,,,,,,,,,1
36,u3lTgOdDC2B2,1,,,,,,,,,,,,1
37,ms5,1,,,,,,,,,,,,1
38,lily13,1,,,,,,,,,,,,1
39,Siketyan,1,,,,,,,,,,,,1
40,d4wnin9,1,,,,,,,,,,,,1
41,a,1,,,,,,,,,,,,1
42,taiyaki,1,,,,,,,,,,,,1
43,Nick,1,,,,,,,,,,,,1
44,umncsk,1,,,,,,,,,,,,1
,#Solves,43,31,9,14,12,6,6,14,10,5,3,5,
